"group","scores"
"group1",91.2366084376147
"group1",92.4594826627931
"group1",81.9904926239124
"group1",92.8624959975336
"group1",81.4826089839675
"group1",82.7849901697732
"group1",86.3808805819167
"group1",81.5402730727632
"group1",74.8703660858519
"group1",80.041811239361
"group1",89.892554863733
"group1",79.8736948049579
"group1",92.0924383581986
"group1",80.7797968488334
"group1",94.3145892894772
"group1",84.4636640633211
"group1",84.2221062856061
"group1",86.2276741464516
"group1",100.486830486962
"group1",88.715754496904
"group1",89.7834497060257
"group1",78.6091082284992
"group1",88.7093185901235
"group1",83.3566205674267
"group1",90.4758257312488
"group1",84.7845247925146
"group1",81.3027053606197
"group1",80.4940163768564
"group1",92.7260140843679
"group1",96.6425588581464
"group1",94.4956014959597
"group1",85.5272813704557
"group1",100.89697483752
"group1",82.7281476859286
"group1",85.4567416678459
"group1",90.855327107024
"group1",85.7396800645405
"group1",94.3892011097536
"group1",86.6622343541522
"group1",83.4301042396447
"group1",87.3575882621416
"group1",88.5912650412015
"group1",86.2830261764028
"group1",81.756212030062
"group1",88.509297460148
"group1",88.7028635359216
"group1",93.6995144263776
"group1",89.4352359553607
"group1",78.5844089810471
"group1",97.3062330736051
"group1",88.7164572749724
"group1",95.0463983532728
"group1",98.9389036139595
"group1",88.9849592982863
"group1",83.6366783744254
"group1",82.9246066483216
"group1",91.55677936582
"group1",90.3735526474443
"group1",95.5164556858455
"group1",90.0344110666608
"group1",84.5985299865831
"group1",79.469263292096
"group1",91.2223852322603
"group1",85.4412420132515
"group1",80.2129640094372
"group1",85.3930103148307
"group1",86.5648475279865
"group1",88.2539685344979
"group1",89.5498295020738
"group1",81.3310458351892
"group1",93.2078210660491
"group1",85.6423319985613
"group1",69.2686674728378
"group1",94.2149741370373
"group1",89.4865779909965
"group1",87.8455667566105
"group1",81.4783839675432
"group1",87.533661838059
"group1",90.0847145194916
"group1",89.8913547106035
"group1",90.1050040847167
"group1",90.3893742840386
"group1",97.9605422542115
"group1",89.5681535127543
"group1",92.5928532495526
"group1",76.2090354955102
"group1",82.7818082020626
"group1",94.3764915183703
"group1",96.8055100864653
"group1",87.7834339746696
"group1",90.6549339679433
"group1",94.3893079803537
"group1",88.1472395492745
"group1",86.7218792432433
"group1",85.3943338160545
"group1",93.2687102687691
"group1",78.7150412096377
