Temperature,Chirps
21.40961634,89.8893517
15.76819762,73.21143245
21.2402542,94.76065181
18.02732019,86.46968118
19.23554302,81.80422343
16.31509336,73.97409007
14.99309332,71.76378862
17.42586523,83.36757352
15.14866539,69.00696317
16.12699693,83.99946677
15.94782441,81.75393484
19.89071837,83.24404508
17.57510199,80.30515716
16.18298991,84.24503611
15.28849841,76.51411739
20.62393444,88.2805566
14.78959229,72.41394119
19.58354473,95.36790692
19.24721975,85.68361732
16.98740692,80.66267584
16.37688325,74.53641208
13.96086829,71.74502743
14.83222093,82.40540502
15.39032606,69.36072755
17.47689547,84.40490608
14.63986732,81.16915356
19.63542286,83.63176555
17.11634788,82.14071524
17.58740287,84.90943476
14.72890169,76.39093711
20.71968392,88.3984399
16.34897849,72.505971
18.93182487,93.62853656
19.30426352,85.03614899
18.99949284,83.5770984
16.71684963,75.77117143
16.65699758,70.18892966
16.58481526,80.90231633
15.13699208,70.55039741
16.86586454,84.08905957
16.45119909,81.72675718
18.00335739,84.36134582
15.17824294,80.26265767
18.51453687,85.45001884
15.45643601,77.9171404
20.46459802,88.68214751
17.04140294,73.66668998
20.42691686,94.46159682
20.60717999,84.57591369
17.45172023,79.24020986
14.8487212,75.85695593
13.72427928,69.45443273
18.75443169,84.14201643
15.85047041,69.29498248
17.35164576,85.14805186
16.08292904,80.43089602
17.2201341,84.71160485
17.37518579,81.24127397
17.86413299,85.42322044
13.67293679,77.02250803
19.52013944,87.78337155
16.28847313,71.29608961
18.99668511,93.97843685
18.77593127,84.57899316
18.41095888,82.75178855
16.49214909,75.11079238
14.41256919,69.24113177
19.42415145,84.48258139
14.13548226,70.79167778
16.15480851,83.44134039
15.96811866,81.57992068
18.20078632,82.95204617
16.70741392,81.52667621
17.9221038,84.54999926
14.89710173,75.78175025
