drink,scores
nocoffee,104.4686321
nocoffee,108.3322901
nocoffee,91.04232836
nocoffee,88.68205772
nocoffee,89.26822282
nocoffee,83.62208627
nocoffee,80.65931503
nocoffee,79.38437707
nocoffee,86.3441982
nocoffee,84.84354097
nocoffee,82.69666427
nocoffee,78.78051359
nocoffee,99.88567436
nocoffee,99.26145111
nocoffee,87.40318542
nocoffee,82.25656609
nocoffee,98.81023058
nocoffee,75.65209525
nocoffee,85.13433908
nocoffee,77.28951244
nocoffee,58.34259306
nocoffee,55.73930108
nocoffee,63.05799161
nocoffee,101.7423976
nocoffee,64.01995344
nocoffee,99.18948361
nocoffee,86.2617887
nocoffee,83.25276838
nocoffee,97.94114812
nocoffee,86.51166332
nocoffee,67.6256191
nocoffee,97.34733867
nocoffee,100.5695011
nocoffee,81.30019863
nocoffee,72.16087983
nocoffee,110.6784396
nocoffee,86.10316767
nocoffee,84.98691324
nocoffee,77.53155875
nocoffee,95.1599045
nocoffee,98.30530525
nocoffee,58.58035429
nocoffee,65.68523298
nocoffee,75.47913486
nocoffee,99.47603017
nocoffee,49.28763073
nocoffee,100.8651646
nocoffee,62.31483813
nocoffee,71.76564294
nocoffee,77.80765272
coffee,74.0994694
coffee,96.56508863
coffee,91.55412062
coffee,102.0995994
coffee,131.2732435
coffee,102.7737163
coffee,85.41148027
coffee,99.61120077
coffee,93.01235284
coffee,79.17927323
coffee,82.68939911
coffee,78.4348015
coffee,98.55413008
coffee,106.3429363
coffee,104.0016313
coffee,115.3377866
coffee,103.3793938
coffee,113.2538418
coffee,89.76496899
coffee,82.57158201
coffee,85.50882253
coffee,109.7477294
coffee,103.2881571
coffee,103.3268332
coffee,113.1831331
coffee,78.07516176
coffee,67.96858561
coffee,91.79954902
coffee,81.70642928
coffee,124.8892608
coffee,80.90216318
coffee,86.65405875
coffee,113.6373706
coffee,83.68799772
coffee,94.07739959
coffee,92.63428746
coffee,84.3257748
coffee,88.28293918
coffee,86.69167204
coffee,82.2467364
coffee,134.2136724
coffee,81.51510002
coffee,83.61995701
coffee,92.22773755
coffee,89.13901651
coffee,99.64939591
coffee,96.33350257
coffee,122.3855227
coffee,117.5523106
coffee,90.7273261
coffee,103.5450249
coffee,95.53623098
coffee,91.14249389
coffee,106.0746499
coffee,97.31134716
coffee,106.2357789
coffee,100.8166588
coffee,110.864029
coffee,96.39011299
coffee,116.3008407
coffee,86.786474
coffee,103.8237942
coffee,114.164664
coffee,120.1323567
coffee,105.3204323
coffee,94.16409101
coffee,108.5218391
coffee,91.59782772
coffee,86.27970271
coffee,92.84401847
tea,104.4686321
tea,108.3322901
tea,91.04232836
tea,88.68205772
tea,89.26822282
tea,83.62208627
tea,80.65931503
tea,79.38437707
tea,86.3441982
tea,84.84354097
tea,82.69666427
tea,78.78051359
tea,99.88567436
tea,99.26145111
tea,87.40318542
tea,82.25656609
tea,98.81023058
tea,75.65209525
tea,85.13433908
tea,77.28951244
tea,58.34259306
tea,55.73930108
tea,63.05799161
tea,101.7423976
tea,64.01995344
tea,99.18948361
tea,86.2617887
tea,83.25276838
tea,97.94114812
tea,86.51166332
tea,67.6256191
tea,97.34733867
tea,100.5695011
tea,81.30019863
tea,72.16087983
tea,110.6784396
tea,86.10316767
tea,84.98691324
tea,77.53155875
tea,95.1599045
tea,98.30530525
tea,58.58035429
tea,65.68523298
tea,75.47913486
tea,99.47603017
tea,49.28763073
tea,100.8651646
tea,62.31483813
tea,71.76564294
tea,77.80765272
tea,74.0994694
tea,96.56508863
tea,91.55412062
tea,102.0995994
tea,131.2732435
tea,102.7737163
tea,85.41148027
tea,99.61120077
tea,93.01235284
tea,79.17927323
tea,82.68939911
tea,78.4348015
tea,98.55413008
tea,106.3429363
tea,104.0016313
tea,115.3377866
tea,103.3793938
tea,113.2538418
tea,89.76496899
tea,82.57158201
tea,85.50882253
tea,109.7477294
tea,103.2881571
tea,103.3268332
tea,113.1831331
tea,78.07516176
tea,67.96858561
tea,91.79954902
tea,81.70642928
tea,124.8892608
tea,80.90216318
tea,86.65405875
tea,113.6373706
tea,83.68799772
tea,94.07739959
tea,92.63428746
tea,84.3257748
tea,88.28293918
tea,86.69167204
tea,82.2467364
tea,134.2136724
tea,81.51510002
tea,83.61995701
tea,92.22773755
tea,89.13901651
tea,99.64939591
tea,96.33350257
tea,122.3855227
tea,117.5523106
tea,90.7273261
tea,103.5450249
tea,95.53623098
tea,91.14249389
tea,106.0746499
tea,97.31134716
tea,106.2357789
tea,100.8166588
tea,110.864029
tea,96.39011299
tea,116.3008407
tea,86.786474
tea,103.8237942
tea,114.164664
tea,120.1323567
tea,105.3204323
tea,94.16409101
tea,108.5218391
tea,91.59782772
tea,86.27970271
tea,92.84401847
