drink,scores
nocoffee,104.4686321
nocoffee,108.3322901
nocoffee,91.04232836
nocoffee,88.68205772
nocoffee,89.26822282
nocoffee,83.62208627
nocoffee,80.65931503
nocoffee,79.38437707
nocoffee,86.3441982
nocoffee,84.84354097
nocoffee,82.69666427
nocoffee,78.78051359
nocoffee,99.88567436
nocoffee,99.26145111
nocoffee,87.40318542
nocoffee,82.25656609
nocoffee,98.81023058
nocoffee,75.65209525
nocoffee,85.13433908
nocoffee,77.28951244
nocoffee,58.34259306
nocoffee,55.73930108
nocoffee,63.05799161
nocoffee,101.7423976
nocoffee,64.01995344
nocoffee,99.18948361
nocoffee,86.2617887
nocoffee,83.25276838
nocoffee,97.94114812
nocoffee,86.51166332
nocoffee,67.6256191
nocoffee,97.34733867
nocoffee,100.5695011
nocoffee,81.30019863
nocoffee,72.16087983
nocoffee,110.6784396
nocoffee,86.10316767
nocoffee,84.98691324
nocoffee,77.53155875
nocoffee,95.1599045
nocoffee,98.30530525
nocoffee,58.58035429
nocoffee,65.68523298
nocoffee,75.47913486
nocoffee,99.47603017
nocoffee,49.28763073
nocoffee,100.8651646
nocoffee,62.31483813
nocoffee,71.76564294
nocoffee,77.80765272
coffee,74.0994694
coffee,96.56508863
coffee,91.55412062
coffee,102.0995994
coffee,131.2732435
coffee,102.7737163
coffee,85.41148027
coffee,99.61120077
coffee,93.01235284
coffee,79.17927323
coffee,82.68939911
coffee,78.4348015
coffee,98.55413008
coffee,106.3429363
coffee,104.0016313
coffee,115.3377866
coffee,103.3793938
coffee,113.2538418
coffee,89.76496899
coffee,82.57158201
coffee,85.50882253
coffee,109.7477294
coffee,103.2881571
coffee,103.3268332
coffee,113.1831331
coffee,78.07516176
coffee,67.96858561
coffee,91.79954902
coffee,81.70642928
coffee,124.8892608
coffee,80.90216318
coffee,86.65405875
coffee,113.6373706
coffee,83.68799772
coffee,94.07739959
coffee,92.63428746
coffee,84.3257748
coffee,88.28293918
coffee,86.69167204
coffee,82.2467364
coffee,134.2136724
coffee,81.51510002
coffee,83.61995701
coffee,92.22773755
coffee,89.13901651
coffee,99.64939591
coffee,96.33350257
coffee,122.3855227
coffee,117.5523106
coffee,90.7273261
coffee,103.5450249
coffee,95.53623098
coffee,91.14249389
coffee,106.0746499
coffee,97.31134716
coffee,106.2357789
coffee,100.8166588
coffee,110.864029
coffee,96.39011299
coffee,116.3008407
coffee,86.786474
coffee,103.8237942
coffee,114.164664
coffee,120.1323567
coffee,105.3204323
coffee,94.16409101
coffee,108.5218391
coffee,91.59782772
coffee,86.27970271
coffee,92.84401847
